"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.003471497213467956,0.5524986386299133,-0.1480444967746735,0.003471497187229903,0.5524986665714072,-0.1480444937986419,9.0,0.0,36.0,0.5720000000000001,8193849779748.0,249779748.0,-15.0
0.003412052057683468,0.5144560933113098,-0.1187741532921791,0.003412051956452273,0.51445607937236,-0.1187741566935607,10.0,2.0,38.0,0.528,8193849779752.0,249779752.0,-13.0
0.04892770946025848,7.187968730926514,0.3767141997814179,0.04892770774109783,7.187968870349351,0.3767142130367097,1.0,3.0,39.0,7.198,8193849779754.0,249779754.0,3.0
0.003474469762295485,0.5104343295097351,-0.09922067821025848,0.003474469799327023,0.5104343103642655,-0.0992206775958033,7.0,4.0,39.0,0.52,8193849779757.0,249779757.0,-11.0
0.0505884476006031,7.246143817901611,0.6339708566665649,0.05058844775537668,7.246143646206773,0.6339708727464655,3.0,5.0,40.0,7.274,8193849779759.0,249779759.0,5.0
0.05215205997228622,7.1143798828125,0.8735594749450684,0.0521520608828639,7.114379666822496,0.8735594535280972,40.0,7.0,42.0,7.168,8193849779764.0,249779764.0,7.0
0.05371574684977531,6.994602680206299,1.107868909835815,0.05371574764792897,6.994602573416669,1.107868881414915,3.0,9.0,44.0,7.082,8193849779768.0,249779768.0,9.0
0.05725150927901268,7.2893385887146,1.416947603225708,0.05725150897044485,7.28933863697666,1.416947599666222,100.0,11.0,45.0,7.426,8193849779773.0,249779773.0,11.0
0.05980148911476135,7.28999137878418,1.683083772659302,0.05980148816669537,7.289991546124195,1.683083788600798,89.0,13.0,47.0,7.482,8193849779777.0,249779777.0,13.0
0.05933073908090591,7.081919670104981,1.897661209106445,0.05933073920503763,7.081919632878682,1.897661238691682,49.0,15.0,48.0,7.332,8193849779782.0,249779782.0,15.0
0.00540005648508668,0.5524832010269165,-0.1480444967746735,0.005400056290057766,0.5524831827738905,-0.1480444937986419,9.0,0.0,56.0,0.5720000000000001,8193849779803.0,249779803.0,-15.0
0.005602349527180195,0.5534138679504395,-0.1277721971273422,0.00560234967806507,0.5534138405160246,-0.1277721988673153,9.0,2.0,58.0,0.5680000000000001,8193849779807.0,249779807.0,-13.0
0.07424433529376984,7.209722995758057,0.3778656125068665,0.07424433263504486,7.209722974173787,0.3778656040740544,2.0,3.0,59.0,7.22,8193849779810.0,249779810.0,3.0
0.005054035689681768,0.4907875657081604,-0.0954044982790947,0.005054035461076713,0.4907875696738933,-0.0954044976882724,8.0,4.0,59.0,0.5,8193849779812.0,249779812.0,-11.0
0.07569412887096405,7.227992534637451,0.6324020624160767,0.07569412628209625,7.227992392213351,0.6324020693770077,3.0,5.0,60.0,7.256,8193849779814.0,249779814.0,5.0
0.07711444795131683,7.126064300537109,0.8750218749046326,0.07711444468735236,7.126064135415559,0.8750218856489589,42.0,7.0,62.0,7.18,8193849779819.0,249779819.0,7.0
0.07819733023643494,7.000298023223877,1.108807444572449,0.07819733389643889,7.000298217295579,1.108807488205156,2.0,9.0,64.0,7.088,8193849779824.0,249779824.0,9.0
0.08274024724960327,7.293020725250244,1.417710781097412,0.0827402442769644,7.293020638834365,1.417710835647728,100.0,11.0,65.0,7.43,8193849779828.0,249779828.0,11.0
0.08527073264122009,7.29168701171875,1.683533668518066,0.08527073061778989,7.291686993744727,1.683533690709486,63.0,13.0,67.0,7.484,8193849779833.0,249779833.0,13.0
0.08400503545999527,7.077805995941162,1.896625995635986,0.08400503625344867,7.077805953274805,1.896625962511272,46.0,15.0,68.0,7.328,8193849779837.0,249779837.0,15.0
0.007021057885140181,0.5292807817459106,-0.1418328434228897,0.00702105800350932,0.5292807867035724,-0.1418328367161814,9.0,0.0,76.0,0.548,8197449779858.0,249779858.0,-15.0
0.00721574854105711,0.5300081968307495,-0.1223733723163605,0.007215748506366217,0.5300081984425222,-0.1223733735630626,9.0,2.0,78.0,0.544,8197449779863.0,249779863.0,-13.0
0.09820660203695297,7.213431358337402,0.3780749440193176,0.09820660533169737,7.213431277584917,0.3780749478990262,2.0,3.0,78.0,7.224,8197449779865.0,249779865.0,3.0
0.006929585244506598,0.5025453567504883,-0.09769420325756073,0.006929585146695206,0.5025453442580805,-0.09769420563279094,5.0,4.0,79.0,0.512,8197449779867.0,249779867.0,-11.0
0.1011744290590286,7.245614051818848,0.6339708566665649,0.1011744299011794,7.245613891675657,0.6339708727464655,3.0,5.0,80.0,7.274,8197449779870.0,249779870.0,5.0
0.1021590381860733,7.137660980224609,0.8764843344688416,0.1021590351915181,7.13766087540115,0.8764843177698207,40.0,7.0,82.0,7.192,8197449779874.0,249779874.0,7.0
0.1017541065812111,7.023702621459961,1.112561941146851,0.1017541065600523,7.023702448586147,1.112561915366122,2.0,9.0,83.0,7.112,8197449779879.0,249779879.0,9.0
0.1083136275410652,7.300539493560791,1.41923725605011,0.1083136305952975,7.300539543219602,1.41923730761074,100.0,11.0,85.0,7.438,8197449779883.0,249779883.0,11.0
0.110870897769928,7.301087379455566,1.68578314781189,0.110870894860189,7.301087497287397,1.685783201252924,84.0,13.0,87.0,7.494,8197449779888.0,249779888.0,13.0
0.1086216643452644,7.071674823760986,1.895073056221008,0.1086216679990274,7.071674729162321,1.895073048240657,43.0,15.0,88.0,7.322,8197449779893.0,249779893.0,15.0
